Assembly                    scaffolds    scaffolds_broken
# contigs (>= 0 bp)         1115         -
# contigs (>= 1000 bp)      1115         1741
# contigs (>= 5000 bp)      1115         1741
# contigs (>= 10000 bp)     1113         1737
# contigs (>= 25000 bp)     957          1564
# contigs (>= 50000 bp)     548          1088
Total length (>= 0 bp)      2172367055   -
Total length (>= 1000 bp)   2172367055   2172304455
Total length (>= 5000 bp)   2172367055   2172304455
Total length (>= 10000 bp)  2172349185   2172268585
Total length (>= 25000 bp)  2169289139   2168853730
Total length (>= 50000 bp)  2154399383   2151469315
# contigs                   1115         1741
Largest contig              320219577    114883193
Total length                2172367055   2172304455
GC (%)                      40.49        40.49
N50                         156042477    37755421
N90                         61385178     944760
auN                         172595016.1  45687708.1
L50                         5            16
L90                         13           214
# N's per 100 kbp           2.88         0.00
