accession	species	gene_id	chrom	start	end	len_bp	strand	class	tier	status	len_aa	model
hmaj_V2R001	hmaj	LOC_00004506	ch1	23283692	23297642	13950	pos	intact	T2	pseudogene	862	miniprot
hmaj_V2R002	hmaj	LOC_00004507	ch1	23366915	23375779	8864	pos	intact	T2	pseudogene	878	miniprot
hmaj_V2R003	hmaj	LOC_00004508	ch1	23518792	23519329	537	pos	intact	T2	pseudogene	855	miniprot
hmaj_V2R004	hmaj	LOC_00004509	ch1	23584092	23592789	8697	neg	intact	T2	pseudogene	867	eviann
hmaj_V2R005	hmaj	LOC_00004510	ch1	23624536	23633611	9075	pos	intact	T2	functional	866	miniprot
hmaj_V2R006	hmaj	LOC_00004512	ch1	23770879	23771622	743	neg	fragmented	T2	partial	78	eviann
hmaj_V2R007	hmaj	LOC_00004513	ch1	23856764	23870226	13462	neg	intact	T2	pseudogene	839	miniprot
hmaj_V2R008	hmaj	LOC_00004515	ch1	23952513	23954224	1711	neg	fragmented	T2	partial	336	eviann
hmaj_V2R009	hmaj	LOC_00004516	ch1	24004444	24020442	15998	neg	intact	T2	pseudogene	1124	miniprot
hmaj_V2R010	hmaj	LOC_00004517	ch1	24068019	24081123	13104	neg	intact	T2	pseudogene	864	miniprot
hmaj_V2R011	hmaj	LOC_00004518	ch1	24159847	24161579	1732	pos	intact	T2	functional	867	miniprot
hmaj_V2R012	hmaj	LOC_00004520	ch1	24280794	24282545	1751	pos	intact	T2	pseudogene	867	miniprot
hmaj_V2R013	hmaj	LOC_00004521	ch1	24345381	24347142	1761	pos	intact	T2	functional	874	miniprot
hmaj_V2R014	hmaj	LOC_00004522	ch1	24385872	24387653	1781	pos	intact	T2	functional	874	miniprot
hmaj_V2R015	hmaj	LOC_00004523	ch1	24447555	24462562	15007	neg	intact	T2	functional	863	eviann
hmaj_V2R016	hmaj	LOC_00004524	ch1	24695840	24697600	1760	pos	intact	T2	functional	795	miniprot
hmaj_V2R017	hmaj	LOC_00004525	ch1	24725001	24736158	11157	pos	intact	T2	functional	867	miniprot
hmaj_V2R018	hmaj	LOC_00004554	ch1	26031252	26055790	24538	neg	intact	T2	pseudogene	733	miniprot
hmaj_V2R019	hmaj	LOC_00004556	ch1	26115536	26123226	7690	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R020	hmaj	LOC_00004557	ch1	26137413	26137970	557	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R021	hmaj	LOC_00004558	ch1	26171288	26175731	4443	neg	fragmented	T2	partial	240	orf
hmaj_V2R022	hmaj	LOC_00004559	ch1	26294049	26302921	8872	neg	intact	T2	pseudogene	864	miniprot
hmaj_V2R023	hmaj	LOC_00004560	ch1	26337076	26345827	8751	neg	intact	T2	pseudogene	864	miniprot
hmaj_V2R024	hmaj	LOC_00004561	ch1	26360219	26370915	10696	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R025	hmaj	LOC_00004562	ch1	26376415	26376799	384	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R026	hmaj	LOC_00004563	ch1	26382081	26382638	557	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R027	hmaj	LOC_00004564	ch1	26495837	26510955	15118	neg	intact	T2	functional	787	miniprot
hmaj_V2R028	hmaj	LOC_00004565	ch1	26590655	26595097	4442	neg	partial	T2	pseudogene	864	miniprot
hmaj_V2R029	hmaj	LOC_00004566	ch1	26700855	26710096	9241	neg	intact	T2	functional	865	miniprot
hmaj_V2R030	hmaj	LOC_00004567	ch1	26749305	26760282	10977	neg	intact	T2	pseudogene	861	miniprot
hmaj_V2R031	hmaj	LOC_00004568	ch1	26861496	26870791	9295	neg	intact	T2	pseudogene	850	miniprot
hmaj_V2R032	hmaj	LOC_00004569	ch1	26908545	26914288	5743	neg	intact	T2	pseudogene	850	miniprot
hmaj_V2R033	hmaj	LOC_00004570	ch1	26938522	26940919	2397	neg	intact	T2	pseudogene	863	miniprot
hmaj_V2R034	hmaj	LOC_00004571	ch1	27086461	27094858	8397	neg	intact	T2	pseudogene	865	miniprot
hmaj_V2R035	hmaj	LOC_00004572	ch1	27108557	27108941	384	neg	NA	NA	partial	127	NA
hmaj_V2R036	hmaj	LOC_00004573	ch1	27145475	27155455	9980	pos	intact	T2	pseudogene	847	miniprot
hmaj_V2R037	hmaj	LOC_00004574	ch1	27161659	27182749	21090	pos	intact	T2	pseudogene	847	miniprot
hmaj_V2R038	hmaj	LOC_00004575	ch1	27232229	27457105	224876	pos	intact	T2	pseudogene	866	miniprot
hmaj_V2R039	hmaj	LOC_00004577	ch1	27504267	27526624	22357	neg	intact	T2	pseudogene	863	miniprot
hmaj_V2R040	hmaj	LOC_00006701	ch1	299159139	299813552	654413	pos	fragmented	T2	partial	911	eviann
hmaj_V2R041	hmaj	LOC_00009888	ch2	1628888	1629686	798	neg	fragmented	T2	partial	265	eviann
hmaj_V2R042	hmaj	LOC_00009894	ch2	2152006	2152327	321	pos	NA	NA	partial	106	NA
hmaj_V2R043	hmaj	LOC_00009896	ch2	2583815	2608973	25158	neg	intact	T2	functional	848	miniprot
hmaj_V2R044	hmaj	LOC_00009897	ch2	3077643	3077973	330	pos	NA	NA	partial	109	NA
hmaj_V2R045	hmaj	LOC_00009898	ch2	3182114	3198828	16714	pos	intact	T2	functional	845	miniprot
hmaj_V2R046	hmaj	LOC_00009900	ch2	3288070	3304215	16145	pos	intact	T2	functional	856	eviann
hmaj_V2R047	hmaj	LOC_00009901	ch2	3338095	3363076	24981	neg	intact	T2	functional	848	miniprot
hmaj_V2R048	hmaj	LOC_00009902	ch2	3473389	3475331	1942	pos	fragmented	T2	partial	175	eviann
hmaj_V2R049	hmaj	LOC_00009904	ch2	3702861	3714780	11919	neg	intact	T2	functional	848	miniprot
hmaj_V2R050	hmaj	LOC_00009906	ch2	4002688	4025117	22429	neg	intact	T2	functional	848	eviann
hmaj_V2R051	hmaj	LOC_00009912	ch2	4703793	4729941	26148	neg	intact	T2	functional	847	eviann
hmaj_V2R052	hmaj	LOC_00009913	ch2	4769501	4772767	3266	pos	intact	T2	functional	849	miniprot
hmaj_V2R053	hmaj	LOC_00009914	ch2	4852245	4857064	4819	neg	fragmented	T2	partial	395	eviann
hmaj_V2R054	hmaj	LOC_00009915	ch2	4889966	4909623	19657	neg	intact	T2	functional	847	eviann
hmaj_V2R055	hmaj	LOC_00009916	ch2	4931524	4936535	5011	pos	intact	T2	functional	659	eviann
hmaj_V2R056	hmaj	LOC_00009919	ch2	5131868	5142214	10346	neg	intact	T2	functional	849	eviann
hmaj_V2R057	hmaj	LOC_00009920	ch2	5176784	5201247	24463	neg	intact	T2	functional	847	eviann
hmaj_V2R058	hmaj	LOC_00009921	ch2	5334380	5337352	2972	pos	partial	T2	pseudogene	869	miniprot
hmaj_V2R059	hmaj	LOC_00009927	ch2	5726801	5741623	14822	pos	intact	T2	functional	773	eviann
hmaj_V2R060	hmaj	LOC_00009928	ch2	5766599	5777396	10797	neg	intact	T2	functional	849	eviann
hmaj_V2R061	hmaj	LOC_00009929	ch2	5859352	5864376	5024	pos	intact	T2	functional	849	miniprot
hmaj_V2R062	hmaj	LOC_00009931	ch2	5941324	5946131	4807	neg	fragmented	T2	partial	395	eviann
hmaj_V2R063	hmaj	LOC_00009932	ch2	5979761	5999487	19726	neg	intact	T2	functional	847	eviann
hmaj_V2R064	hmaj	LOC_00009934	ch2	6132720	6152402	19682	neg	intact	T2	functional	847	eviann
hmaj_V2R065	hmaj	LOC_00009936	ch2	6294217	6319667	25450	neg	intact	T2	functional	848	eviann
hmaj_V2R066	hmaj	LOC_00009938	ch2	6346871	6351892	5021	pos	intact	T2	functional	849	miniprot
hmaj_V2R067	hmaj	LOC_00009971	ch2	7358148	7368768	10620	neg	intact	T2	functional	819	eviann
hmaj_V2R068	hmaj	LOC_00009972	ch2	7385476	7405189	19713	pos	intact	T2	functional	847	eviann
hmaj_V2R069	hmaj	LOC_00009973	ch2	7575441	7593474	18033	pos	intact	T2	functional	847	eviann
hmaj_V2R070	hmaj	LOC_00009974	ch2	7775617	7780638	5021	neg	intact	T2	functional	849	miniprot
hmaj_V2R071	hmaj	LOC_00009976	ch2	7900619	7919582	18963	neg	intact	T2	pseudogene	847	eviann
hmaj_V2R072	hmaj	LOC_00009981	ch2	8116954	8127786	10832	neg	intact	T2	functional	849	eviann
hmaj_V2R073	hmaj	LOC_00009982	ch2	8382346	8407255	24909	pos	intact	T2	functional	848	miniprot
hmaj_V2R074	hmaj	LOC_00009983	ch2	8454860	8465465	10605	pos	intact	T2	functional	847	miniprot
hmaj_V2R075	hmaj	LOC_00009987	ch2	8776271	8787118	10847	neg	intact	T2	functional	849	eviann
hmaj_V2R076	hmaj	LOC_00009988	ch2	8818743	8841662	22919	neg	intact	T2	functional	847	eviann
hmaj_V2R077	hmaj	LOC_00009989	ch2	8884728	8887994	3266	pos	intact	T2	functional	849	miniprot
hmaj_V2R078	hmaj	LOC_00009991	ch2	9081219	9113995	32776	neg	intact	T2	functional	847	eviann
hmaj_V2R079	hmaj	LOC_00009992	ch2	9183485	9194368	10883	pos	intact	T2	functional	849	eviann
hmaj_V2R080	hmaj	LOC_00009993	ch2	9230342	9246283	15941	pos	intact	T2	functional	849	eviann
hmaj_V2R081	hmaj	LOC_00009995	ch2	9396949	9401972	5023	pos	intact	T2	functional	659	eviann
hmaj_V2R082	hmaj	LOC_00009996	ch2	9475876	9489413	13537	neg	intact	T2	functional	849	eviann
hmaj_V2R083	hmaj	LOC_00009997	ch2	9670866	9673549	2683	neg	fragmented	T2	partial	240	orf
hmaj_V2R084	hmaj	LOC_00009998	ch2	9732889	9743948	11059	neg	intact	T2	pseudogene	878	miniprot
hmaj_V2R085	hmaj	LOC_00009999	ch2	9805216	9815920	10704	pos	intact	T2	functional	849	miniprot
hmaj_V2R086	hmaj	LOC_00010001	ch2	9970463	9992543	22080	neg	intact	T2	functional	847	eviann
hmaj_V2R087	hmaj	LOC_00010002	ch2	10014434	10019444	5010	pos	intact	T2	functional	659	eviann
hmaj_V2R088	hmaj	LOC_00010003	ch2	10074288	10079311	5023	neg	intact	T2	functional	659	eviann
hmaj_V2R089	hmaj	LOC_00010006	ch2	10176533	10186840	10307	pos	intact	T2	functional	849	eviann
hmaj_V2R090	hmaj	LOC_00010007	ch2	10193641	10206469	12828	pos	intact	T2	functional	659	eviann
hmaj_V2R091	hmaj	LOC_00010012	ch2	10519016	10524040	5024	neg	intact	T2	functional	849	miniprot
hmaj_V2R092	hmaj	LOC_00010013	ch2	10546351	10566068	19717	pos	intact	T2	functional	847	eviann
hmaj_V2R093	hmaj	LOC_00010015	ch2	10676360	10681364	5004	neg	intact	T2	functional	657	eviann
hmaj_V2R094	hmaj	LOC_00010016	ch2	10792004	10811659	19655	pos	fragmented	T2	partial	379	eviann
hmaj_V2R095	hmaj	LOC_00010017	ch2	11387368	11404683	17315	pos	intact	T2	functional	849	miniprot
hmaj_V2R096	hmaj	LOC_00010018	ch2	11425391	11441110	15719	pos	intact	T2	functional	849	miniprot
